#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
"E.coli and Shigella","ECOL-17-VL-OH-GA-0008",,"PDT000234084.2","2017-08-18T12:28:37Z","USA:GA","Canis lupus- Ear","environmental/other",,,,,"SAMN07410534",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","ECOL-17-VL-OH-ON-0003",,"PDT000234086.2","2017-08-18T12:28:37Z","Canada","Canis lupus familiaris - urine","environmental/other",,,,,"SAMN07410532",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","ECOL-17-VL-OH-WA-0012",,"PDT000234087.2","2017-08-18T12:28:37Z","USA:WA","ear","environmental/other",,,,,"SAMN07410535",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008293",,"PDT000234147.2","2017-08-18T14:21:56Z","USA",,"clinical",,,,,"SAMN07505014",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008292",,"PDT000234148.2","2017-08-18T14:21:57Z","USA",,"clinical",,,,,"SAMN07505013",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008505",,"PDT000234149.2","2017-08-18T14:21:57Z","USA",,"clinical",,,,,"SAMN07499568",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008506",,"PDT000234150.2","2017-08-18T14:21:57Z","USA",,"clinical",,,,,"SAMN07499569",,"aph(3'')-Ib,aph(6)-Id,blaEC,qnrB19,sul2,tet(A),tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008540",,"PDT000234151.2","2017-08-18T14:21:57Z","USA",,"clinical",,"PDS000007822.95",5,,"SAMN07434383",,"aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-40,dfrA14,erm(B),mph(A),qacEdelta1,qnrS1,sul1,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008593",,"PDT000234152.2","2017-08-18T14:21:57Z","USA",,"clinical",,"PDS000033420.2",2,,"SAMN07486981",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008654",,"PDT000234153.2","2017-08-18T14:21:57Z","USA",,"clinical",,,,,"SAMN07490719",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008651",,"PDT000234154.2","2017-08-18T14:21:57Z","USA",,"clinical",,,,,"SAMN07490720",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008721",,"PDT000234155.2","2017-08-18T16:20:50Z","USA",,"clinical",,"PDS000033202.1",19,,"SAMN07450732",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008719",,"PDT000234156.2","2017-08-18T16:20:50Z","USA",,"clinical",,"PDS000003575.41",27,33,"SAMN07450731",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008740",,"PDT000234157.2","2017-08-18T16:20:50Z",,,"clinical",,"PDS000035359.3",11,,"SAMN07442086",,"aph(3')-Ia,blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008739",,"PDT000234158.2","2017-08-18T16:20:50Z",,,"clinical",,"PDS000035159.6",3,15,"SAMN07442087",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008741",,"PDT000234159.2","2017-08-18T16:20:50Z",,,"clinical",,"PDS000033219.1",31,,"SAMN07442088",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008742",,"PDT000234160.2","2017-08-18T16:20:50Z",,,"clinical",,"PDS000033382.1",25,,"SAMN07442089",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008743",,"PDT000234161.2","2017-08-18T16:20:50Z","USA",,"clinical",,"PDS000033200.1",1,,"SAMN07455901",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008758",,"PDT000234162.2","2017-08-18T16:20:51Z","USA",,"clinical",,"PDS000033204.1",22,,"SAMN07450218",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008766",,"PDT000234163.2","2017-08-18T16:20:51Z","USA",,"clinical",,"PDS000034262.1",30,51,"SAMN07455900",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008751",,"PDT000234164.2","2017-08-18T16:20:51Z","USA",,"clinical",,,,,"SAMN07450740",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008757",,"PDT000234165.2","2017-08-18T16:20:51Z","USA:WY",,"clinical",,"PDS000035167.3",2,,"SAMN07450333",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008752",,"PDT000234166.2","2017-08-18T16:20:51Z","USA",,"clinical",,,,,"SAMN07450743",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008767",,"PDT000234167.2","2017-08-18T16:20:51Z","USA",,"clinical",,"PDS000034004.1",16,,"SAMN07455904",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008750",,"PDT000234168.2","2017-08-18T16:20:51Z","USA",,"clinical",,"PDS000035064.1",60,19,"SAMN07450734",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008773",,"PDT000234169.2","2017-08-18T16:20:52Z","USA",,"clinical",,"PDS000020158.2",1,,"SAMN07456235",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008774",,"PDT000234170.2","2017-08-18T16:20:52Z","USA",,"clinical",,"PDS000035159.6",30,31,"SAMN07456236",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008775",,"PDT000234171.2","2017-08-18T16:20:52Z","USA",,"clinical",,"PDS000034484.1",0,,"SAMN07456237",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008777",,"PDT000234172.2","2017-08-18T16:20:52Z","USA",,"clinical",,,,,"SAMN07456239",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008779",,"PDT000234173.2","2017-08-18T16:20:52Z","USA",,"clinical",,"PDS000034484.1",0,,"SAMN07456241",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008776",,"PDT000234174.2","2017-08-18T16:20:52Z","USA",,"clinical",,"PDS000035182.8",17,,"SAMN07456238",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008778",,"PDT000234175.2","2017-08-18T16:20:52Z","USA",,"clinical",,"PDS000035403.1",2,,"SAMN07456240",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008907",,"PDT000234176.2","2017-08-18T16:20:53Z","USA",,"clinical",,"PDS000035159.6",0,29,"SAMN07498990",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008915",,"PDT000234177.2","2017-08-18T16:20:53Z","USA",,"clinical",,,,,"SAMN07508915",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008910",,"PDT000234178.2","2017-08-18T16:20:53Z","USA",,"clinical",,"PDS000033828.3",2,,"SAMN07500779",,"blaEC,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008912",,"PDT000234179.2","2017-08-18T16:20:53Z","USA",,"clinical",,"PDS000035170.3",5,43,"SAMN07500782",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008911",,"PDT000234180.2","2017-08-18T16:20:53Z","USA",,"clinical",,"PDS000035170.3",6,44,"SAMN07500781",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008909",,"PDT000234181.2","2017-08-18T16:20:53Z","USA",,"clinical",,,,,"SAMN07500784",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008922",,"PDT000234182.2","2017-08-18T16:20:54Z","USA",,"clinical",,"PDS000033189.1",22,,"SAMN07500939",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008920",,"PDT000234183.2","2017-08-18T16:20:54Z","USA",,"clinical",,"PDS000035579.1",20,,"SAMN07500938",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008919",,"PDT000234184.2","2017-08-18T16:20:54Z","USA",,"clinical",,,,,"SAMN07500935",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008921",,"PDT000234185.2","2017-08-18T16:20:54Z","USA",,"clinical",,"PDS000003468.7",4,,"SAMN07500937",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008918",,"PDT000234186.2","2017-08-18T16:20:54Z","USA",,"clinical",,"PDS000000712.39",12,37,"SAMN07500936",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008917",,"PDT000234187.2","2017-08-18T16:20:54Z","USA",,"clinical",,"PDS000034116.2",5,,"SAMN07508916",,"aph(3')-Ia,blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008716",,"PDT000234188.2","2017-08-18T18:17:56Z","USA",,"clinical",,"PDS000033276.1",1,,"SAMN07455892",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008760",,"PDT000234189.2","2017-08-18T18:17:56Z","USA",,"clinical",,"PDS000033203.1",3,,"SAMN07450219",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008715",,"PDT000234190.2","2017-08-18T18:17:56Z","USA",,"clinical",,"PDS000035359.3",16,,"SAMN07455891",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008780",,"PDT000234191.2","2017-08-18T18:17:56Z","USA",,"clinical",,"PDS000035170.3",4,34,"SAMN07450751",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008781",,"PDT000234192.3","2017-08-28T13:39:40Z","USA",,"clinical",,"PDS000000761.33",9,,"SAMN07450753",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,floR,qnrB19,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008804",,"PDT000234193.2","2017-08-18T18:17:57Z","USA",,"clinical",,"PDS000020404.2",18,,"SAMN07455869",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008800",,"PDT000234194.2","2017-08-18T18:17:57Z","USA",,"clinical",,,,,"SAMN07455865",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008797",,"PDT000234195.2","2017-08-18T18:17:57Z","USA",,"clinical",,,,,"SAMN07455863",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008798",,"PDT000234196.2","2017-08-18T18:17:57Z","USA",,"clinical",,,,,"SAMN07455864",,"blaEC","PDG000000004.1006"
"E.coli and Shigella",,,"PDT000234197.2","2017-08-18T18:17:57Z","USA",,"clinical",,,,,"SAMN07455959",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008801",,"PDT000234198.2","2017-08-18T18:17:57Z","USA",,"clinical",,"PDS000033330.1",9,,"SAMN07455866",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008802",,"PDT000234199.2","2017-08-18T18:17:58Z","USA",,"clinical",,,,,"SAMN07455867",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008803",,"PDT000234200.2","2017-08-18T18:17:58Z","USA",,"clinical",,"PDS000034715.1",27,,"SAMN07455868",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008805",,"PDT000234201.2","2017-08-18T18:17:58Z","USA",,"clinical",,,,,"SAMN07455870",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008807",,"PDT000234202.2","2017-08-18T18:17:58Z","USA",,"clinical",,,,,"SAMN07455872",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008806",,"PDT000234203.2","2017-08-18T18:17:58Z","USA",,"clinical",,,,,"SAMN07455871",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008327",,"PDT000234208.2","2017-08-18T20:24:08Z","USA",,"clinical",,"PDS000033694.1",8,,"SAMN07457154",,"aadA1,aph(3'')-Ib,aph(6)-Id,blaEC,blaOXA-1,catA1,dfrA1,sat2,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008328",,"PDT000234209.2","2017-08-18T20:24:08Z","USA",,"clinical",,"PDS000033681.1",15,,"SAMN07457150",,"aadA1,aph(3'')-Ib,aph(6)-Id,blaCTX-M-15,blaEC,dfrA1,qnrS1,sat2,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008825",,"PDT000234210.2","2017-08-18T20:24:09Z","USA",,"clinical",,"PDS000035348.1",10,7,"SAMN07450813",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008884",,"PDT000234211.2","2017-08-18T20:24:09Z","USA",,"clinical",,,,,"SAMN07499244",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008875",,"PDT000234212.2","2017-08-18T20:24:09Z","USA",,"clinical",,"PDS000033186.1",47,,"SAMN07504981",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008885",,"PDT000234213.2","2017-08-18T20:24:09Z","USA",,"clinical",,"PDS000033761.3",28,52,"SAMN07499245",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008886",,"PDT000234214.2","2017-08-18T20:24:09Z","USA",,"clinical",,"PDS000034568.1",36,,"SAMN07499246",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008878",,"PDT000234215.2","2017-08-18T20:24:09Z","USA",,"clinical",,"PDS000016107.3",4,,"SAMN07504984",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008876",,"PDT000234216.2","2017-08-18T20:24:09Z","USA",,"clinical",,"PDS000035617.1",24,,"SAMN07504982",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008887",,"PDT000234217.2","2017-08-18T20:24:10Z","USA",,"clinical",,,,,"SAMN07499247",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008978",,"PDT000234218.2","2017-08-18T20:24:10Z","USA",,"clinical",,"PDS000033377.1",3,,"SAMN07509406",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008948",,"PDT000234219.2","2017-08-18T20:24:10Z","USA",,"clinical",,,,,"SAMN07510171",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008940",,"PDT000234220.2","2017-08-18T20:24:10Z","USA",,"clinical",,"PDS000000684.6",14,,"SAMN07510154",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008941",,"PDT000234221.2","2017-08-18T20:24:10Z","USA",,"clinical",,,,,"SAMN07510150",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008945",,"PDT000234222.2","2017-08-18T20:24:10Z","USA",,"clinical",,"PDS000006893.6",20,,"SAMN07510162",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008947",,"PDT000234223.2","2017-08-18T20:24:11Z","USA",,"clinical",,"PDS000034239.1",38,,"SAMN07510170",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008943",,"PDT000234224.2","2017-08-18T20:24:11Z","USA",,"clinical",,"PDS000035204.7",14,29,"SAMN07510158",,"aph(3'')-Ib,aph(6)-Id,blaEC,floR,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE009002",,"PDT000234225.2","2017-08-18T20:24:11Z","USA",,"clinical",,"PDS000035339.5",15,20,"SAMN07507036",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008983",,"PDT000234226.2","2017-08-18T20:24:11Z","USA",,"clinical",,,,,"SAMN07509411",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008957",,"PDT000234227.2","2017-08-18T20:24:11Z","USA",,"clinical",,"PDS000000755.27",4,25,"SAMN07504986",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008975",,"PDT000234228.2","2017-08-18T20:24:11Z","USA",,"clinical",,,,,"SAMN07508824",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008960",,"PDT000234229.2","2017-08-18T20:24:11Z","USA",,"clinical",,,,,"SAMN07504989",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008973",,"PDT000234230.2","2017-08-18T20:24:12Z","USA",,"clinical",,"PDS000035170.3",1,30,"SAMN07507039",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008959",,"PDT000234231.2","2017-08-18T20:24:12Z","USA",,"clinical",,"PDS000033163.1",1,,"SAMN07504988",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008974",,"PDT000234232.2","2017-08-18T20:24:12Z","USA",,"clinical",,"PDS000011352.5",24,,"SAMN07508825",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA8,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008958",,"PDT000234233.2","2017-08-18T20:24:12Z","USA",,"clinical",,"PDS000033982.1",37,,"SAMN07504987",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008976",,"PDT000234234.2","2017-08-18T20:24:12Z","USA",,"clinical",,"PDS000035644.1",38,,"SAMN07508826",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE009004",,"PDT000234235.2","2017-08-18T20:24:12Z","USA",,"clinical",,"PDS000033828.3",3,,"SAMN07507041",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008985",,"PDT000234236.2","2017-08-18T20:24:12Z","USA",,"clinical",,"PDS000033420.2",2,,"SAMN07509413",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE009003",,"PDT000234237.2","2017-08-18T20:24:13Z","USA",,"clinical",,,,,"SAMN07507037",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE009007",,"PDT000234238.2","2017-08-18T20:24:13Z","USA",,"clinical",,"PDS000005873.15",3,,"SAMN07500976",,"aph(3'')-Ib,aph(6)-Id,blaEC,qnrB19,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","B6914-ARS",,"PDT000234608.1","2017-08-18T17:01:24Z","USA: Washington (state)","fecal sample","clinical","Homo sapiens","PDS000000948.16",3,1,"SAMN07369154","GCA_002259555.1","blaEC","PDG000000004.1006"
"E.coli and Shigella","592121",,"PDT000234609.1","2017-08-18T17:20:14Z","France: Tours",,"clinical","Homo sapiens",,,,"SAMN04500792","GCA_002257685.1","aadA2,ant(3''),blaCTX-M-15,blaEC,blaNDM-7,blaOXA-1,blaTEM-1,ble,catA1,dfrA1,dfrA12,erm(B),mph(A),qacEdelta1,rmtB1,sat2,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","I2017011183-S7",,"PDT000234851.2","2017-08-21T21:36:32Z","USA:MN","feces","environmental/other",,"PDS000033183.1",0,16,"SAMN07509380",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","I2017011193-S4-S1",,"PDT000234852.2","2017-08-21T21:36:32Z","USA:MN","feces","environmental/other",,"PDS000033183.1",16,0,"SAMN07509374",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PSU_0129",,"PDT000234867.2","2017-08-21T21:36:35Z","USA:OH","spinach","environmental/other",,"PDS000033181.1",2,,"SAMN07509467",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PSU_0124",,"PDT000234903.2","2017-08-21T21:36:41Z","USA:OH","lettuce","environmental/other",,"PDS000033180.1",2,,"SAMN07509470",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PSU_0123",,"PDT000234910.2","2017-08-21T21:36:42Z","USA:OH","lettuce","environmental/other",,"PDS000034033.1",2,,"SAMN07509480",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PSU_0120",,"PDT000234924.2","2017-08-21T21:36:44Z","USA:CA","spinach","environmental/other",,"PDS000033182.1",5,,"SAMN07509463",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PSU_0127",,"PDT000234932.2","2017-08-21T21:36:46Z","USA:OH","spinach","environmental/other",,"PDS000034820.1",1,,"SAMN07509481",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PSU_0126",,"PDT000234933.2","2017-08-21T21:36:46Z","USA:OH","tomato","environmental/other",,"PDS000034030.1",1,,"SAMN07509466",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PSU_0125",,"PDT000234944.2","2017-08-21T21:36:47Z","USA:PA","spinach","environmental/other",,"PDS000034031.1",6,,"SAMN07509474",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PSU_0121",,"PDT000235012.2","2017-08-21T21:36:58Z","USA:CA","spinach","environmental/other",,"PDS000033182.1",13,,"SAMN07509462",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","NC_STEC254",,"PDT000235022.5","2018-06-26T23:05:47Z","USA:TN","Manure Pile near Chicken Houses","environmental/other",,,,,"SAMN07469540",,"aph(3'')-Ib,aph(6)-Id,blaEC,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE007610",,"PDT000235040.2","2017-08-22T01:31:59Z","USA",,"clinical",,"PDS000034450.6",5,,"SAMN07368496",,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA8,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE006575",,"PDT000235041.2","2017-08-22T01:31:59Z","USA",,"clinical",,,,,"SAMN07509521",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE006574",,"PDT000235042.2","2017-08-22T01:31:59Z","USA",,"clinical",,,,,"SAMN07509520",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008169",,"PDT000235043.2","2017-08-22T01:31:59Z","USA",,"clinical",,"PDS000033474.2",1,,"SAMN07423868",,"aadA1,blaEC,dfrA1,sat2","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008168",,"PDT000235044.2","2017-08-22T01:31:59Z","USA",,"clinical",,,,,"SAMN07423867",,"blaEC,fosA7","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008422",,"PDT000235045.2","2017-08-22T01:31:59Z","USA",,"clinical",,,,,"SAMN07509523",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008424",,"PDT000235046.2","2017-08-22T01:31:59Z","USA",,"clinical",,,,,"SAMN07509525",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008421",,"PDT000235047.2","2017-08-22T01:32:00Z","USA",,"clinical",,"PDS000035518.1",38,,"SAMN07509522",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008423",,"PDT000235048.2","2017-08-22T01:32:00Z","USA",,"clinical",,,,,"SAMN07509524",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008427",,"PDT000235049.2","2017-08-22T01:32:00Z","USA",,"clinical",,,,,"SAMN07509528",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008425",,"PDT000235050.2","2017-08-22T01:32:00Z","USA",,"clinical",,,,,"SAMN07509526",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008426",,"PDT000235051.2","2017-08-22T01:32:00Z","USA",,"clinical",,"PDS000033179.1",1,,"SAMN07509527",,"aadA1,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,dfrA1,floR,qnrB19,sat2,sul2,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008429",,"PDT000235052.2","2017-08-22T01:32:00Z","USA",,"clinical",,,,,"SAMN07509530",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008428",,"PDT000235053.2","2017-08-22T01:32:00Z","USA",,"clinical",,"PDS000033178.1",43,,"SAMN07509529",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008598",,"PDT000235054.2","2017-08-22T01:32:01Z","USA",,"clinical",,"PDS000035148.9",8,16,"SAMN07513350",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008431",,"PDT000235055.2","2017-08-22T01:32:01Z","USA",,"clinical",,,,,"SAMN07509531",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008597",,"PDT000235056.2","2017-08-22T01:32:01Z","USA",,"clinical",,"PDS000035063.2",38,13,"SAMN07513348",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008575",,"PDT000235057.2","2017-08-22T01:32:01Z","USA",,"clinical",,"PDS000033511.1",14,,"SAMN07428830",,"aadA2,blaEC,blaOXA-1,catA1,mph(A),qacEdelta1,sul1,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008594",,"PDT000235058.2","2017-08-22T01:32:01Z","USA",,"clinical",,"PDS000034147.1",4,,"SAMN07513349",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008653",,"PDT000235059.2","2017-08-22T01:32:01Z","USA",,"clinical",,"PDS000035747.1",6,,"SAMN07512589",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008718",,"PDT000235060.2","2017-08-22T01:32:01Z","USA",,"clinical",,"PDS000004313.38",5,5,"SAMN07450730",,"aac(3)-VIa,aadA1,blaEC,blaHER-3,qacEdelta1,sul1,tet(A)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008596",,"PDT000235061.2","2017-08-22T01:32:02Z","USA",,"clinical",,"PDS000034147.1",4,,"SAMN07513352",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008599",,"PDT000235062.2","2017-08-22T01:32:02Z","USA",,"clinical",,"PDS000035148.9",6,27,"SAMN07513353",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008595",,"PDT000235063.2","2017-08-22T01:32:02Z","USA",,"clinical",,"PDS000034450.6",29,,"SAMN07513351",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008656",,"PDT000235064.2","2017-08-22T01:32:02Z","USA",,"clinical",,"PDS000033190.2",4,,"SAMN07490721",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008707",,"PDT000235065.2","2017-08-22T01:32:02Z","USA",,"clinical",,"PDS000035237.5",33,25,"SAMN07508811",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008722",,"PDT000235066.2","2017-08-22T01:32:02Z","USA",,"clinical",,"PDS000033201.1",31,,"SAMN07450733",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008708",,"PDT000235067.2","2017-08-22T01:32:03Z","USA",,"clinical",,"PDS000035927.2",26,,"SAMN07508812",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008723",,"PDT000235068.2","2017-08-22T01:32:03Z","USA",,"clinical",,,,,"SAMN07504978",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008709",,"PDT000235069.2","2017-08-22T01:32:03Z","USA",,"clinical",,"PDS000035073.5",0,22,"SAMN07504977",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008738",,"PDT000235070.2","2017-08-22T01:32:03Z","USA",,"clinical",,"PDS000033828.3",4,,"SAMN07508814",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008736",,"PDT000235071.2","2017-08-22T01:32:03Z","USA",,"clinical",,,,,"SAMN07503902",,"blaEC","PDG000000004.1006"
"E.coli and Shigella","PNUSAE008737",,"PDT000235072.2","2017-08-22T01:32:03Z","USA",,"clinical",,,,,"SAMN07508813",,"blaEC","PDG000000004.1006"
