Murray Collection Identifier	Alternative NCTC accession number (if applicable)	Strain name	Date on  tube 	Year	Genus	Designation	Origin	Colony variants (Canada) 	Original number	Date freeze-dried in NCTC 	Colony derivatives (UK)	Equivalence group	No. of plasmids	Plasmid A MW	Plasmid B MW	Plasmid C MW	Plasmid D MW	Plasmid E MW	Plasmid F MW	Plasmid G MW	16S rRNA ID result	MALDI-TOF ID Result	Positive Polyvalent antisera	Sequenced (see Table S2)
M251		E Ledingham	13/08/1921	1921	Shigella	Sh. sonnei			251	07/10/1980		M251 M369 M370	1	68							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M252		Schmitz 13	27/02/1933	1933	Shigella	Sh. dysenteriae 2			252	07/10/1980		M146 M252 M298 M299	ND										N/A	No
M253		76 A 	5/11/-	ND	Shigella	Sh. sp. 	Stool		253	07/10/1980			0											No
M254		NCTC 4840	07/09/1938	1938	Salmonella	S. poona		Large variant	254L 	07/10/1980	Both same size	M254 M255 M441	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M255		NCTC 4840	07/09/1938	1938	Salmonella	S. poona		Small variant	255S	06/10/1980	Both same size	M254 M255 M441	0								Salmonella enterica	Salmonella sp	N/A	No
M256		NCTC 86	04/07/1930	1930	Escherichia	E. coli			256	07/10/1980			1	89							Escherichia coli	Escherichia coli	N/A	Yes
M257		Bergaroff	-/-/35	1935	Salmonella	? S. paratyphi A 	"Blood culture, case in epidemic in Women's General Hospital "		257	13/10/1980			ND										N/A	No
M259		D 386 	17/12/1940	1940	Salmonella	S. sp. ? S. paratyphi C			259	17/11/1980		M259 M418	0										N/A	No
M26		Superpestifer I 	14/12/1926	1926	Salmonella	S. sp 		Large variant	26L	01/09/1980	Both same size	M3 M7 M26 M27 	ND											No
M260		E 2508	11/06/1940	1940	Salmonella	S. sp. 	Stool/enteritis	Large variant	260 L 	06/10/1980	"M260 Smo, M261 R"	M260 M261	ND											No
M261		E 2508	11/06/1940	1940	Salmonella	S. sp. 	Stool/enteritis	Small variant	261S 	06/10/1980	"M260 Smo, M261 R"	M260 M261	0											No
M262		Flexneri Pia (Pai) 	06/04/1925	1925	Shigella	Sh. flexneri 			262	06/10/1980			0								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M263		Jordan 168	5/12/-	ND	Salmonella	S. cholerasuis			263	06/10/1980			1	30							Salmonella enterica	Salmonella sp.	N/A	Yes
M264		Avortment Cheval 	-/12/35	1935	Salmonella	S. abortusequi			264	07/10/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M265		Berman I 	01/02/1934	1934	Escherichia	E. coli (haemolytic)		Large variant	265L 	07/10/1980			5	66	43	37	22	3.1			Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	N/A	Yes
M266		Berman I 	01/02/1934	1934	Escherichia	E. coli (haemolytic)		Small variant	266S 	07/10/1980			5	66	43	37	22	3.1			Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	N/A	Yes
M267		Nicholls	-/12/35	1935	Salmonella	S. reading		Rough opaque variant	267 RO	06/10/1980		M267 M268	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M268		Nicholls	-/12/35	1935	Salmonella	S. reading		Smooth translucent variant	268 SmoT	06/10/1980		M267 M268	0								Salmonella enterica	Salmonella sp	N/A	Yes
M269		NCTC 5042 (disc) 	07/09/1938	1938	Salmonella	S. oslo		Large variant	269 L 	07/10/1980	Both same size	M269 M270 M450	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M27		Superpestifer I 	14/12/1926	1926	Salmonella	S. sp 		Small variant	27S	01/09/1980	Both same size	M3 M7 M26 M27 	1	27										No
M270		NCTC 5042 (disc) 	07/09/1938	1938	Salmonella	S. oslo		Small variant	270S	06/10/1980	Both same size	M269 M270 M450	0								Salmonella enterica	Salmonella sp	N/A	Yes
M271		Britton	-/12/35	1935	Salmonella	S. stanley		Large variant	271 L 	06/10/1980	Both same size	M271 M272	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M272		Britton	-/12/35	1935	Salmonella	S. stanley		Small variant	272 S	06/10/1980	Both same size	M271 M272	0								Salmonella enterica	Salmonella sp	N/A	No
M273		NCTC 3025 (disc) 	07/09/1938	1938	Salmonella	S. moscow 			273	07/10/1980		M273 M329 M330 M440	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M274		NCTC 3206 (disc) 	07/09/1938	1938	Salmonella	S. potsdam		Large variant	274L 	07/10/1980	Both same size	M274 M275 	ND								Salmonella enterica	Salmonella sp	N/A	No
M275		NCTC 3206 (disc) 	07/09/1938	1938	Salmonella	S. potsdam		Small variant	275S	07/10/1980	Both same size	M274 M275 	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M276		NCTC 4958 (disc) 		ND	Salmonella	S. bispebjerg			276	06/10/1980		M276 M443	2	86	45						Salmonella enterica	Salmonella sp	N/A	Yes
M277		Pesch	-/12/35	1935	Salmonella	S. dublin			277	06/10/1980			1	47							Salmonella enterica	Salmonella sp	N/A	Yes
M278		NCTC 4778 (disc) 	07/09/1938	1938	Salmonella	S. blegdam			278	06/10/1980		M28 M278 M573	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M279		43059	17/12/1940	1940	Salmonella	S. typhimurium		Translucent variant	279T	06/10/1980	Both the same	M279 M280 M436	1	40							Salmonella enterica	Salmonella sp	N/A	Yes
M28		Chap. Pept 4.8.25	14/12/1926	1926	Salmonella	S typhimurium 			28	01/09/1980		M28 M278 M573	1	54							Salmonella enterica	Salmonella sp	N/A	Yes
M280		43059	17/12/1940	1940	Salmonella	S. typhimurium		Opaque variant	280 O 	06/10/1980	Both the same	M279 M280 M436	1	37							Salmonella enterica	Salmonella sp	N/A	Yes
M281		F337	21/01/1941	1941	Salmonella	S. sp. 	Stool/acute enteritis		281	06/10/1980		M281 M395 M396 M397	0											No
M282		57854	04/09/1935	1935	Salmonella	S. paratyphi B		Opaque variant	282 P 	13/10/1980		M282 M419 M492 M493	0										N/A	Yes
M283		M.G.H. 22451	29/05/1941	1941	Salmonella	S. typhimurium		Large opaque variant	283 LO 	06/10/1980	"283 S, 284 R, 285 S"	M283 M284 M285	1	64							Salmonella enterica	Salmonella sp	N/A	Yes
M284		M.G.H. 22451	29/05/1941	1941	Salmonella	S. typhimurium		Medium opaque variant 	284 MO	06/10/1980	"283 S, 284 R, 285 S"	M283 M284 M285	1	64							Salmonella enterica	Salmonella sp	N/A	Yes
M285		M.G.H. 22451	29/05/1941	1941	Salmonella	S. typhimurium		Small translucent variant	285 ST	06/10/1980	"283 S, 284 R, 285 S"	M283 M284 M285	1	64							Salmonella enterica	Salmonella sp	N/A	Yes
M286		G 2858 Mackie	19/06/1942	1942	Salmonella	S. sp. 		Large variant	286 L 	06/10/1980		M286 M287 	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M287		G 2858 Mackie	19/06/1942	1942	Salmonella	S. sp. 		Small variant	287 S 	06/10/1980		M286 M287 	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M288		Lepine H 1911 Strain 1 	01/04/1943	1943	Salmonella	S. paratyphi B	Stool		288	06/10/1980		M100 M288 M352 M353	0										N/A	No
M289		W Logan	2-/5/34	1934	Shigella	Sh. flexneri W (2a) 			289	06/10/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Esherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M29		"102, from Dudgeon isol. 1919 Salonika"	26/05/1919	1919	Shigella	Sh. dysenteriae 2		Large variant	29L	01/09/1980	M29 O M30 T	M29 M30 	3	84	2.7	1.4							N/A	No
M290		1609	06/04/1925	1925	Shigella	Sh. sp. 			290	06/10/1980		M64 M290	3	76	1.8	1.2					Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	N/A	No
M291		7204	06/06/1937	1937	Escherichia	E. alkalescens	Faeces nursling		291	06/10/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	N/A	Yes
M292		"Turner, Addington FWA "	04/01/1932	1932	Escherichia	E. alkalescens		Rough variant	292R	06/10/1980		M292 M293	1	67							Escherichia coli	Escherichia coli	N/A	Yes
M293		"Turner, Addington FWA "	04/01/1932	1932	Escherichia	E. alkalescens		Smooth variant	293Smo	08/10/1980		M292 M293	1	67							Escherichia coli	Escherichia coli	N/A	Yes
M294		NCTC 2541 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei			294	08/10/1980	Rough	M294 M627 	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M295	13678	49484	05/04/1940	1940	Klebsiella	Kl. aerogenes	"Stool, same case as M296"		295	08/10/1980			ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M296	13679	49483	05/04/1940	1940	Klebsiella	Kl. aerogenes	"Surgical wound in fection, same case as M295"		296	08/10/1980			0								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M297		7172	06/06/1937	1937	Escherichia	E. alkalescens	Urine (M.F. L.) 		297	13/10/1980			0								Escherichia coli	Escherichia coli	N/A	Yes
M298		13 Shig-ambigua	10/03/1943	1943	Shigella	Sh. dysenteriae 2		Large variant	298L 	13/10/1980	Both same size	M146 M252 M298 M299	1	2.9									N/A	No
M299		13 Shig-ambigua	10/03/1943	1943	Shigella	Sh. dysenteriae 2		Small variant	299S	13/10/1980	Both same size	M146 M252 M298 M299	ND										N/A	No
M3		Superpestifer I 	04/08/1925	1925	Salmonella	S. sp ?			3	01/09/1980		M3 M7 M26 M27 	2	52	27									No
M30		"102, from Dudgeon isol. 1919 Salonika"	26/05/1919	1919	Shigella	Sh. dysenteriae 2		Small variant	30S 	01/09/1980	M29 O M30 T	M29 M30 	3	96	2.7	1.4							N/A	No
M300		CMH 4950	11/02/1936	1936	Enterobacteriacae	Enterobacteriacae	Stool from typhoid case		300	13/10/1980			ND								Escherichia coli	Escherichia coli	N/A	Yes
M301		CMG 22322	29/05/1941	1941	Salmonella	S. typhimurium	F. Jacob	Large variant	301L	13/10/1980		M301 M302	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M302		CMG 22322	29/05/1941	1941	Salmonella	S. typhimurium	F. Jacob	Small variant	302S	13/10/1980		M301 M302	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M303		CMH 2243	29/04/1941	1941	Salmonella	S. typhimurium	F. Worters	Large variant	303L	13/10/1980		M303 M304	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M304		CMH 2243	29/04/1941	1941	Salmonella	S. typhimurium	F. Worters	Small variant	304S	13/10/1980		M303 M304	4	70	36	2.6	2				Salmonella enterica	Salmonella sp	N/A	Yes
M305		484996	17/12/1940	1940	Salmonella	S. sp.			305	13/10/1980			1	33										No
M306		Sp 414	20/12/1935	1935	Salmonella	S. sp.	Mr. McConnell		306	13/10/1980			0											No
M307		E 4116	17/12/1940	1940	Salmonella	S. sp. 		Large variant	307L	13/10/1980	"Both same size, R "	M307 M308	0											No
M308		E4116	17/12/1940	1940	Salmonella	S. sp. 		Small variant	308S	13/10/1980	"Both same size, R "	M307 M308	0											No
M309		E 3668	05/09/1940	1940	Salmonella	S. paratyphi C 	Blood culture; Patient Havill 	Large variant	309L	13/10/1980		M309 M310	1	33									N/A	Yes
M31		"6066 Dudgeon, Sal. "	04/02/1918	1918	Shigella	Sh. flexneri Y			31	01/09/1980			1	72							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M310		E 3668	05/09/1940	1940	Salmonella	S. paratyphi C 	Blood culture; Patient Havill 	Small variant	310S	13/10/1980		M309 M310	1	33									N/A	No
M311		CMH 22321		ND	Salmonella	S. typhimurium 	H. Comtois	Large variant	311L	13/10/1980		M311 M312	1	62							Salmonella enterica	Salmonella sp	N/A	Yes
M312		CMH 22321		ND	Salmonella	S. typhimurium 	H. Comtois	Small variant	312S	13/10/1980		M311 M312	1	62							Salmonella enterica	Salmonella sp	N/A	Yes
M313		CMH 22102	16/05/1941	1941	Salmonella	S. sp. 	"Stool, B. O'Leary "		313	13/10/1980			ND											No
M314		57810	04/09/1935	1935	Shigella	Sh. flexneri 			314	13/10/1980			1	32							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	No agglutination	Yes
M315		57791	04/09/1935	1935	Shigella	Sh. flexneri 			315	13/10/1980			2	2	2						Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	No agglutination	Yes
M316		53165 - I 		ND	Shigella	Sh. sp. 			316	13/10/1980			ND											No
M318		57702	17/06/1935	1935	Salmonella	S. paratyphi B	Blood		318	13/10/1980			1	40									N/A	Yes
M319		Mt. Sinai 428C 	08/01/1940	1940	Shigella	Sh. flexneri Newcastle		Large smooth variant	319L Smo	13/10/1980	319 LR 320/321 SR	M319 M320 M321	0								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M32		Mountain 2464	22/08/1918	1918	Shigella	Sh. sp. FWA 			32	01/09/1980			1	78										No
M320		Mt. Sinai 428C 	08/01/1940	1940	Shigella	Sh. flexneri Newcastle		Large rough opaque variant	320 LRO 	13/10/1980	319 LR 320/321 SR	M319 M320 M321	1	69										No
M321		Mt. Sinai 428C 	08/01/1940	1940	Shigella	Sh. flexneri Newcastle		Large rough translucent variant	321 LRT	13/10/1980	319 LR 320/321 SR	M319 M320 M321	3	80	2.1	1.3								No
M322		C 5189 VII 	17/12/1940	1940	Salmonella	S. sp.			322	13/10/1980			0											No
M323		B 597 	29/06/1939	1939	Shigella	Sh. sonnei			323	13/10/1980		M323 M608	6	5.8	5.4	4.3	3.7	1.4	1		Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	No agglutination	Yes
M324		Craigie D 2	09/11/1939	1939	Salmonella	S. typhi		Small variant	324 S	13/10/1980	N.B. Large variant is M223	M223 M324	0								Salmonella enterica	Salmonella sp	N/A	Yes
M325		Craigie F 1	09/11/1939	1939	Salmonella	S. typhi		Large variant	325L 	13/10/1980	Both same size	M325 M326	ND								N/A	Culture not found	N/A	No
M326		Craigie F 1	09/11/1939	1939	Salmonella	S. typhi		Small variant	326S	13/10/1980	Both same size	M325 M326	0								Salmonella enterica	Salmonella sp	N/A	Yes
M327		Craigie B 1	09/11/1939	1939	Salmonella	S. typhi			327	13/10/1980		M327 M417 	ND								N/A	Culture not found	N/A	No
M328		NCTC 3746 (disc) (Original NCTC tube) 	12/08/1938	1938	Salmonella	S. orianburg			328	13/10/1980		M78 M328	0								Salmonella enterica	Salmonella sp	N/A	Yes
M329		NCTC 3205 (disc) (Original NCTC tube) 	12/08/1938	1938	Salmonella	S. moscow 		Large variant	329L	13/10/1980	Both same size	M273 M329 M330 M440	0								Salmonella enterica	Salmonella sp	N/A	Yes
M33		Lt. Crampton	07/08/1918	1918	Shigella	Sh. flexneri Oxford			33	01/09/1980			1	72							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M330		NCTC 3205 (disc) (Original NCTC tube) 	12/08/1938	1938	Salmonella	S. moscow		Small variant	330S	13/10/1980	Both same size	M273 M329 M330 M440	0								Salmonella enterica	Salmonella sp	N/A	Yes
M331		53225	05/02/1934	1934	Escherichia	E. coli (haemolytic)	Stool		331	13/10/1980			1	36							Escherichia coli	Escherichia coli	N/A	Yes
M332		D 448 	17/12/1940	1940	Salmonella	S. sp. 			332	13/10/1980			0											No
M333		E 2431	11/06/1940	1940	Salmonella	? S. paratyphi B 	Food poisoning	Large variant	333L 	13/10/1980		M333 M334	0										N/A	Yes
M334		E 2431	11/06/1940	1940	Salmonella	? S. paratyphi B 	Food poisoning	Small variant	334S	13/10/1980		M333 M334	0										N/A	No
M335		E 5015	17/12/1940	1940	Salmonella	S. sp. 			335	13/10/1980			0											No
M336		58895		ND	Salmonella	"? S. sp. (""Salm-like GNR"")"	Stool		336	13/10/1980			0											Yes
M337		56219 A 	25/02/1935	1935	Shigella	Sh. dysenteriae 1			337	13/10/1980		M337 M425 	ND										N/A	No
M338		55046	25/09/1934	1934	Shigella	Sh. flexneri		Large variant	338L	13/10/1980	Both same size	M338 M339	1	70							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M339		55046	25/09/1934	1934	Shigella	Sh. flexneri		Small variant	339S 	13/10/1980	Both same size	M338 M339	ND											No
M34		Lemmon	13/09/1918	1918	Shigella	Sh. flexneri X			34	01/09/1980			1	72							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M340		53152	-/1/34	1934	Shigella	Sh. flexneri	Stool	Large variant	340L 	13/10/1980	Both same size	M340 M341	4	84	2.7	1.5	1.8				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M341		53152	-/1/34	1934	Shigella	Sh. flexneri	Stool	Small variant	341S	13/10/1980	Both same size	M340 M341	5	84	2.7	1.8	1.5	1.2						No
M342	13680	MGH 4732	31/10/1949	1949	Klebsiella	Kl. sp. Friedlanders	Fatal pneumonia		342	13/10/1980			1	54							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M343	13681	E 2734	19/06/1946	1946	Klebsiella	Kl. sp. Friedlanders			343	13/10/1980			1	80							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M344		47939	08/04/1940	1940	Klebsiella	K. sp. 	Abdomen		344	13/10/1980			ND								Raoultella ornithinolytica	Raoultella ornithinolytica	N/A	Yes
M345	13682	MGH B 40 - 3880	26/11/1940	1940	Klebsiella	Kl. sp. Friedlanders			345	13/10/1980			ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M346		C 5414	17/12/1940	1940	Salmonella	S. sp. 			346	13/10/1980		M346 M522 M523	ND											No
M347		D 2061	17/12/1940	1940	Salmonella	S. sp. 		Large variant	347L	13/10/1980	Both same size	M347 M348 	0											No
M348		D 2061	17/12/1940	1940	Salmonella	S. sp. 		Small variant	348S	13/10/1980	Both same size	M347 M348 	0											No
M349		C 553	17/12/1940	1940	Salmonella	S. sp. 		Large variant	349L	13/10/1980	"M349 LS, M350 Mucoid, M351 LR "	M349 M350 M351	0											No
M35		Capt. Wilson 	07/09/1918	1918	Shigella	Sh. flexneri Oxford 			35	01/09/1980			1	72							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M350		C 553	17/12/1940	1940	Salmonella	S. sp. 		Medium variant	350M	17/11/1980	"M349 LS, M350 Mucoid, M351 LR "	M349 M350 M351	1	15										No
M351		C 553	17/12/1940	1940	Salmonella	S. sp. 		Small variant	351S	13/10/1980	"M349 LS, M350 Mucoid, M351 LR "	M349 M350 M351	0											No
M352		Lepine H 1911 Strain II	01/04/1943	1943	Salmonella	S. paratyphi B	Stool	Large variant	352L	13/10/1980		M100 M288 M352 M353	0										N/A	No
M353		Lepine H 1911 Strain II	01/04/1943	1943	Salmonella	S. paratyphi B	Stool	Small variant	353S	17/11/1980		M100 M288 M352 M353	ND										N/A	No
M354		P.A.I. Nonspecific	19/05/1941	1941	Salmonella	S. sendai 		Large variant	354L	13/10/1980		M246 M247 M354 M355 M556	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M355		P.A.I. Nonspecific	19/05/1941	1941	Salmonella	S. sendai 		Small variant	355S	13/10/1980		M246 M247 M354 M355 M556	0								Salmonella enterica	Salmonella sp	N/A	No
M356		D 3172	17/12/1942	1942	Salmonella	S. sp. 		Lactose fermenter	356 lf	20/10/1980	Prob. not Salmonella	M356 M357	0											No
M357		D 3172	17/12/1942	1942	Salmonella	S. sp. 		Non Lactose fermenter	357 nlf	20/10/1980	Prob. Salmonella	M356 M357	ND											No
M358		Craigie Type C 	09/11/1939	1939	Salmonella	S. typhi		Large variant	358L	27/10/1980	Both same size	M358 M359	0								N/A	Culture not found	N/A	No
M359		Craigie Type C 	09/11/1939	1939	Salmonella	S. typhi		Small variant	359S	27/10/1980	Both same size	M358 M359	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M36		Oxford flexneri	12/06/1918	1918	Shigella	Sh. flexneri V 			36	01/09/1980		M36 M136	ND											Yes
M360		53219	20/02/1934	1934	Salmonella	S. sp. 			360	20/10/1980		M122 M360	ND											No
M361		56244	25/02/1935	1935	Shigella	Sh. flexneri		Smooth variant	361 Smo	20/10/1980	Both same size	M361 M362	4	4.6	3.3	2.9	1.9				Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M362		56244	25/02/1935	1935	Shigella	Sh. flexneri		Rough variant	362 R	20/10/1980	Both same size	M361 M362	4	3.7	2.4	2.1	1.6							No
M363		58561 B	13/09/1935	1935	Shigella	Sh. flexneri		Large variant	363 L 	20/10/1980	Both same size	M363 M364	1	76										No
M364		58561 B	13/09/1935	1935	Shigella	Sh. flexneri		Small variant	364S	20/10/1980	Both same size	M363 M364	2	120	78						Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M365		E 4304	17/12/1940	1940	Salmonella	S. sp. 		Large variant	365L	20/10/1980			1	110										No
M366		E 4304	17/12/1940	1940	Salmonella	S. sp. 		Small variant	366S	20/10/1980			1	110										No
M367		NCTC 3363 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei	Claire Fitzgerald	Large variant	367L	20/10/1980	Both same size	M367 M368 M656 M657	ND											No
M368		NCTC 3363 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei	Claire Fitzgerald	Small variant	368S	20/10/1980	Both same size	M367 M368 M656 M657	3	50	2	1.3					Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M369		E. Ledingham	05/03/1943	1943	Shigella	Probably Sh. sonnei		Lactose fermenter	369 lf	20/10/1980		M251 M369 M370	5	18	5.8	3.9	3.3	1.9						No
M37		Superpestifer II orig	29/07/1925	1925	Salmonella	S. sp 			37	01/09/1980			1	27										No
M370		Sh. madampensis 	05/03/1943	1943	Shigella	Probably Sh. sonnei		Non Lactose fermenter	370 nlf	20/10/1980		M251 M369 M370	0											No
M371	13683	MGH 4850	31/10/1949	1949	Klebsiella	Kl. sp. Friedlanders		Opaque variant	371 O	20/10/1980		M371 M372	0								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M372	13684	MGH 4850	31/10/1949	1949	Klebsiella	Kl. sp. Friedlanders		Translucent variant	372 T	20/10/1980		M371 M372	ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M373		Sp. 521 (1) 	17/06/1936	1936	Salmonella	S. sp. 		Opaque rough variant	373 OR	20/10/1980	"M373 = M374 R, M375 S"	M373 M374 M375 M488	0											No
M374		Sp. 521 (1) 	17/06/1936	1936	Salmonella	S. sp. 		Translucent variant 	374 T	20/10/1980	"M373 = M374 R, M375 S"	M373 M374 M375 M488	0											No
M375		Sp. 521 (1) 	17/06/1936	1936	Salmonella	S. sp. 		Smooth variant	375 S	20/10/1980	"M373 = M374 R, M375 S"	M373 M374 M375 M488	ND											No
M376		Wallasey	01/11/1937	1937	Salmonella	S. enteritidis			376	20/10/1980			1	35										No
M377		Averill 240177	07/09/1918	1918	Shigella	Sh. flexneri Oxford		Rough variant	377R 	20/10/1980	"Both the same, Smo"	M377 M378 	0											No
M378		Averill 240177	07/09/1918	1918	Shigella	Sh. flexneri Oxford		Smooth variant	378 Smo	20/10/1980	"Both the same, Smo"	M377 M378 	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M379		53580 - I 		ND	Escherichia	E. coli (haemolytic)		Opaque variant	379 O	20/10/1980	Both same size	M379 M380	ND								Escherichia coli	Escherichia coli	N/A	No
M38		Para A Schottmuller H. R. Deans	20/09/1925	1925	Salmonella	"S. paratyphi? A, ? B "			38	01/09/1980			0										N/A	Yes
M380		53580 - I 		ND	Escherichia	E. coli (haemolytic)		Translucent variant	380 T	20/10/1980	Both same size	M379 M380	1	100							Escherichia coli	Escherichia coli	N/A	Yes
M381		Superpestifer II	14/12/1926	1926	Salmonella	S. sp. 		Large variant	381 L 	20/10/1980	Both same size	M9 M25 M381 M382	2	90	30									No
M382		Superpestifer II	14/12/1926	1926	Salmonella	S. sp. 		Small variant	382 S	20/10/1980	Both same size	M9 M25 M381 M382	1	28										No
M383		Binns (cfr. current NCTC 73) 	-/11/37	1938	Salmonella	S. typhimurium		Large variant	383 L 	20/10/1980	Both same size	M383 M384	0								Salmonella enterica	Salmonella sp	N/A	Yes
M384		Binns (cfr. current NCTC 73) 	-/11/37	1937	Salmonella	S. typhimurium		Small variant	384 S	20/10/1980	Both same size	M383 M384	2	52	18						Salmonella enterica	Salmonella sp	N/A	Yes
M385		D 191 	17/12/1940	1940	Salmonella	S. sp. 			385	20/10/1980			0											No
M386		NCTC 3747 (disc) 	12/08/1938	1938	Salmonella	S. rostock			386	20/10/1980			1	48							Salmonella enterica	Salmonella sp	N/A	Yes
M387		NCTC 4444 (from original NCTC tube) 	12/08/1938	1938	Salmonella	S. enteritidis var. dany 2		Opaque variant	387 O	20/10/1980	Both the same	M89 M387 M388	1	60							Salmonella enterica	Salmonella sp	N/A	Yes
M388		NCTC 4444 (from original NCTC tube) 	12/08/1938	1938	Salmonella	S. enteritidis var. dany 2		Translucent variant	388 T	20/10/1980	Both the same	M89 M387 M388	1	60							Salmonella enterica	Salmonella sp	N/A	Yes
M389		D 1194 	14/03/1939	1939	Escherichia	E. coli RL 		Mucoid variant 	389 Mu	20/10/1980	M389 darker than M390 on MacConkey	M389 M390	2	81	57						Escherichia coli	Escherichia coli	N/A	Yes
M39		Sp. 505	17/06/1936	1936	Salmonella	S. sp. 		Large variant	39L 	01/09/1980	Both same size	M39 M40 	5	66	33	8.6	3.5	1.8						No
M390		D 1194 	14/03/1939	1939	Escherichia	E. coli RL 		Mucoid variant 	390 Mu	20/10/1980	M389 darker than M390 on MacConkey	M389 M390	3	81	57	48					Escherichia coli	Escherichia coli	N/A	Yes
M391		56219 B	25/02/1935	1935	Shigella	Sh. flexneri		Rough variant	391 R	20/10/1980	"Both the same, Smo"	M391 M392	1	100							Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M392		56219 B	25/02/1935	1935	Shigella	Sh. flexneri		Smooth variant	392 Smo	20/10/1980	"Both the same, Smo"	M391 M392	1	74										No
M393		NCTC 4051 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei 		Large variant	393 L	20/10/1980		M393 M394 M640	3	62	2	1.2					Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M394		NCTC 4051 (disc) 	02/04/1937	1937	Shigella	Sh. sonnei 		Small variant	394 S	20/10/1980		M393 M394 M640	1	68										No
M395		F 337	22/01/1941	1941	Salmonella	S. sp. 	Stool/acute enteritis	Opaque variant	395 O	20/10/1980	"M395 S, M396 R, M397 S & R"	M281 M395 M396 M397	5	1.5	31	1.8	1.7	1.5						No
M396		F 337	22/01/1941	1941	Salmonella	S. sp. 	Stool/acute enteritis	Translucent variant	396 T	20/10/1980	"M395 S, M396 R, M397 S & R"	M281 M395 M396 M397	5	1.5	31	1.8	1.7	1.5						No
