uberstrain	name	data.source.accession.no..sequencing.platform.sequencing.library.insert.size.experiment.status.	source.niche	source.type	source.details	collection.year	collection.month	collection.day	collection.time	continent	country	region	district	city	post.code	latitude	longitude	lab.contact	species	serological.group	serotype	ecor.cluster	pathogen.non.pathogen	simple.patho	simple.disease	comment	bio.project.id	project.id	disease	sample.id	secondary.sample.id	date.entered	release.date	barcode	status	coverage	n50	length	species.1	contig.number...200.bp.	low.quality.bases	assembly.barcode	version
esc_ea0818aa	pnusae003361	srr3883022;illumina;paired;;srx1939197	human	human	homo sapiens	2015	11	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05331357	srs1558334	2016-07-18	2016-07-12	esc_ea0818aa	assembled	92	208040	4694621	escherichia coli / shigella;100.0%	56	2988	esc_ha6169aa_as	3.41
esc_ea0819aa	pnusae003399	srr3883020;illumina;paired;;srx1939196	human	human	clinical	nd	nd	nd	nd	north america	united states	wyoming	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05294506	srs1558333	2016-07-18	2016-07-12	esc_ea0819aa	assembled	153	109737	5670029	escherichia coli / shigella;100.0%	386	11779	esc_ha6168aa_as	3.41
esc_ea0820aa	pnusae003398	srr3883019;illumina;paired;;srx1939195	human	human	clinical	nd	nd	nd	nd	north america	united states	wyoming	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05294505	srs1558332	2016-07-18	2016-07-12	esc_ea0820aa	assembled	309	114420	5621246	escherichia coli / shigella;100.0%	317	12122	esc_ha6167aa_as	3.41
esc_ea0868aa	133234	srr3879441;illumina;paired;;srx1935905	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05381034	srs1557367	2016-07-18	2016-07-13	esc_ea0868aa	assembled	71	134509	5430318	escherichia coli / shigella;99.66%	349	7392	esc_ha6119aa_as	3.41
esc_ea0869aa	133971	srr3879440;illumina;paired;;srx1935904	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05381033	srs1557366	2016-07-18	2016-07-13	esc_ea0869aa	assembled	67	115784	5435307	escherichia coli / shigella;100.0%	366	8897	esc_ha6118aa_as	3.41
esc_ea0870aa	134261	srr3879439;illumina;paired;;srx1935903	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05381032	srs1557365	2016-07-18	2016-07-13	esc_ea0870aa	assembled	52	132691	5362972	escherichia coli / shigella;100.0%	209	4399	esc_ha6117aa_as	3.41
esc_ea0872aa	142241	srr3831925;illumina;paired;;srx1927092	human	human	human; homo sapiens	2015	8	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374578	srs1554791	2016-07-18	2016-07-12	esc_ea0872aa	assembled	61	124343	5441823	escherichia coli / shigella;100.0%	352	7824	esc_ha6115aa_as	3.41
esc_ea0873aa	135168	srr3831909;illumina;paired;;srx1927087	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374577	srs1554789	2016-07-18	2016-07-12	esc_ea0873aa	assembled	59	143716	5435586	escherichia coli / shigella;100.0%	346	7902	esc_ha6114aa_as	3.41
esc_ea0874aa	135024	srr3831884;illumina;paired;;srx1927082	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374576	srs1554788	2016-07-18	2016-07-12	esc_ea0874aa	assembled	62	102524	5438308	escherichia coli / shigella;100.0%	392	10921	esc_ha6113aa_as	3.41
esc_ea0875aa	134260	srr3831863;illumina;paired;;srx1927076	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374575	srs1554785	2016-07-18	2016-07-12	esc_ea0875aa	assembled	48	120985	5404599	escherichia coli / shigella;100.0%	313	7848	esc_ha6112aa_as	3.41
esc_ea0876aa	135166	srr3831842;illumina;paired;;srx1927072	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374574	srs1554784	2016-07-18	2016-07-12	esc_ea0876aa	assembled	58	140434	5433550	escherichia coli / shigella;100.0%	355	8802	esc_ha6111aa_as	3.41
esc_ea0877aa	142239	srr3831841;illumina;paired;;srx1927071	human	human	human; homo sapiens	2015	8	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374573	srs1554782	2016-07-18	2016-07-12	esc_ea0877aa	assembled	57	143717	5433946	escherichia coli / shigella;99.64%	331	7529	esc_ha6110aa_as	3.41
esc_ea0878aa	136735	srr3831840;illumina;paired;;srx1927070	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374572	srs1554781	2016-07-18	2016-07-12	esc_ea0878aa	assembled	46	102379	5422598	escherichia coli / shigella;99.31%	352	13646	esc_ha6109aa_as	3.41
esc_ea0879aa	136528	srr3831839;illumina;paired;;srx1927069	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374571	srs1554779	2016-07-18	2016-07-12	esc_ea0879aa	assembled	58	146676	5444723	escherichia coli / shigella;99.32%	344	8106	esc_ha6108aa_as	3.41
esc_ea0880aa	133972	srr3831838;illumina;paired;;srx1927068	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374570	srs1554778	2016-07-18	2016-07-12	esc_ea0880aa	assembled	61	139142	5417545	escherichia coli / shigella;99.64%	332	6072	esc_ha6107aa_as	3.41
esc_ea0881aa	140719	srr3831837;illumina;paired;;srx1927067	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374569	srs1554777	2016-07-18	2016-07-12	esc_ea0881aa	assembled	78	146676	5444834	escherichia coli / shigella;99.34%	370	5896	esc_ha6106aa_as	3.41
esc_ea0882aa	140614	srr3831836;illumina;paired;;srx1927065	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374568	srs1554776	2016-07-18	2016-07-12	esc_ea0882aa	assembled	46	146038	5382427	escherichia coli / shigella;100.0%	185	4850	esc_ha6105aa_as	3.41
esc_ea0883aa	142238	srr3831249;illumina;paired;;srx1926956	human	human	human; homo sapiens	2015	8	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374567	srs1554743	2016-07-18	2016-07-12	esc_ea0883aa	assembled	59	148550	5459342	escherichia coli / shigella;100.0%	350	8781	esc_ha6104aa_as	3.41
esc_ea0884aa	136529	srr3831248;illumina;paired;;srx1926955	human	human	human; homo sapiens	2015	7	nd	nd	europe	united kingdom	england	nd	nd	nd	nd	nd	public health england	escherichia coli	nd	o157	nd	nd	nd	nd	nd	prjna315192	srp071789	nd	samn05374566	srs1554742	2016-07-18	2016-07-12	esc_ea0884aa	assembled	50	142608	5363410	escherichia coli / shigella;100.0%	208	6585	esc_ha6103aa_as	3.41
esc_ea0981aa	mod1-ec6822	srr3825886;illumina;paired;500;srx1925675	human	human	cervidae, roe cervidae-rectum	1995	10	nd	nd	north america	united states	california	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o23:h49	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992188	srs1554264	2016-07-18	2015-01-01	esc_ea0981aa	assembled	60	111954	5257588	escherichia coli / shigella;100.0%	181	7620	esc_ha5977aa_as	3.41
esc_ea0982aa	mod1-ec6821	srr3825885;illumina;paired;500;srx1925674	human	human	cervidae, cervidae, muntjac-rectum	1995	10	nd	nd	north america	united states	california	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o66	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992185	srs1554263	2016-07-18	2015-01-01	esc_ea0982aa	assembled	88	354820	5276582	escherichia coli / shigella;98.14%	74	3809	esc_ha5976aa_as	3.41
esc_ea0985aa	mod1-ec6816	srr3825881;illumina;paired;500;srx1925671	human	human	cervidae, cervidae, bactrian wapiti-rectum	1995	10	nd	nd	north america	united states	california	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o110	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992180	srs1554260	2016-07-18	2015-01-01	esc_ea0985aa	assembled	98	193032	4765983	escherichia coli / shigella;100.0%	93	3998	esc_ha5973aa_as	3.41
esc_ea0986aa	mod1-ec6815	srr3825880;illumina;paired;500;srx1925670	human	human	cervidae, cervidae, mandarin sika-rectum	1995	10	nd	nd	north america	united states	california	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o25:h28	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992179	srs1554259	2016-07-18	2015-01-01	esc_ea0986aa	assembled	78	192531	4826128	escherichia coli / shigella;96.5%	87	2055	esc_ha5972aa_as	3.41
esc_ea1154aa	pnusae002118	srr3931389;illumina;paired;;srx1960856	human	human	clinical	nd	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05255129	srs1570853	2016-07-20	2016-07-19	esc_ea1154aa	assembled	121	118626	5185737	escherichia coli / shigella;98.86%	204	7643	esc_ha6435aa_as	3.41
esc_ea1157aa	pnusae002126	srr3931386;illumina;paired;;srx1960853	human	human	clinical	nd	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05255133	srs1570849	2016-07-20	2016-07-19	esc_ea1157aa	assembled	52	103586	5258717	escherichia coli / shigella;100.0%	249	23612	esc_ha6432aa_as	3.41
esc_ea1158aa	pnusae002125	srr3931385;illumina;paired;;srx1960852	human	human	clinical	nd	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05255132	srs1570850	2016-07-20	2016-07-19	esc_ea1158aa	assembled	161	114626	5571009	escherichia coli / shigella;100.0%	328	10783	esc_ha6431aa_as	3.41
esc_ea1161aa	pnusae002121	srr3931382;illumina;paired;;srx1960849	human	human	clinical	nd	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05255130	srs1570846	2016-07-20	2016-07-19	esc_ea1161aa	assembled	134	100852	5627035	escherichia coli / shigella;99.64%	319	15086	esc_ha6428aa_as	3.41
esc_ea1620aa	pnusae003013	srr3957046;illumina;paired;;srx1981255	human	human	clinical	nd	nd	nd	nd	north america	united states	nd	nd	nd	nd	nd	nd	centers for disease control and prevention enteric diseases laboratory branch	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna218110	srp046387	nd	samn05255128	srs1588689	2016-07-28	2016-07-27	esc_ea1620aa	assembled	154	104270	5739955	escherichia coli / shigella;99.39%	426	15616	esc_ha7879aa_as	3.51
esc_ea1646aa	mod1-ec5002	srr3957145;illumina;paired;300;srx1981220,srr4101521;illumina;paired;300;srx2068925	human	human	homo sapiens; human_feces	1999	6	nd	nd	asia	singapore	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04279330	srs1588654	2016-07-28	2015-01-01	esc_ea1646aa	assembled	59	111403	5239705	escherichia coli / shigella;97.21%	208	4791	esc_ha7853aa_as	3.51
esc_ea1693aa	mod1-ec6780	srr3957101;illumina;paired;300;srx1981161	human	human	homo sapiens; homo sapiens-rectum	1994	2	nd	nd	north america	united states	new york	nd	new york	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o6:h16	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992128	srs1588605	2016-07-28	2015-01-01	esc_ea1693aa	assembled	65	57238	5034400	escherichia coli / shigella;98.1%	323	12175	esc_ha7806aa_as	3.51
esc_ea1694aa	mod1-ec6779	srr3957100;illumina;paired;300;srx1981160	human	human	homo sapiens; homo sapiens-intestine	1994	2	nd	nd	africa	zambia	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o153:h2	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992127	srs1588604	2016-07-28	2015-01-01	esc_ea1694aa	assembled	85	99960	5140774	escherichia coli / shigella;96.42%	199	3659	esc_ha7805aa_as	3.51
esc_ea1695aa	mod1-ec6776	srr3957099;illumina;paired;300;srx1981159	human	human	homo sapiens; homo sapiens-intestine	1994	2	nd	nd	africa	zambia	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o85:h10	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992124	srs1588603	2016-07-28	2015-01-01	esc_ea1695aa	assembled	82	96339	5020428	escherichia coli / shigella;94.11%	154	5357	esc_ha7804aa_as	3.51
esc_ea1697aa	mod1-ec6748	srr3957097;illumina;paired;300;srx1981107	human	human	homo sapiens; homo sapiens-intestine	1994	2	nd	nd	africa	zambia	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o11:h16	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992579	srs1588551	2016-07-28	2015-01-01	esc_ea1697aa	assembled	185	89426	4997497	escherichia coli / shigella;98.25%	244	2846	esc_ha7802aa_as	3.51
esc_ea1698aa	mod1-ec6736	srr3957096;illumina;paired;300;srx1981106	human	human	homo sapiens; homo sapiens-intestine	1994	2	nd	nd	africa	zambia	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o18:h10	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992567	srs1588550	2016-07-28	2015-01-01	esc_ea1698aa	assembled	197	265386	5164840	escherichia coli / shigella;98.81%	110	1772	esc_ha7801aa_as	3.51
esc_ea1699aa	mod1-ec6734	srr3957095;illumina;paired;300;srx1981105	human	human	homo sapiens; homo sapiens-feces	1993	12	nd	nd	north america	canada	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o16:h40	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992565	srs1588549	2016-07-28	2015-01-01	esc_ea1699aa	assembled	134	159146	5358941	escherichia coli / shigella;99.26%	189	2496	esc_ha7800aa_as	3.51
esc_ea1700aa	mod1-ec6733	srr3957094;illumina;paired;300;srx1981104	human	human	homo sapiens; homo sapiens-feces	1993	12	nd	nd	north america	canada	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	ox13:h48	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992564	srs1588548	2016-07-28	2015-01-01	esc_ea1700aa	assembled	132	73517	5202446	escherichia coli / shigella;96.56%	305	3441	esc_ha7799aa_as	3.51
esc_ea1709aa	mod1-ec6772	srr3957085;illumina;paired;300;srx1981095	human	human	homo sapiens; homo sapiens-intestine	1994	2	nd	nd	africa	zambia	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o148	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992120	srs1588539	2016-07-28	2015-01-01	esc_ea1709aa	assembled	93	66659	4518046	escherichia coli / shigella;100.0%	150	4589	esc_ha7790aa_as	3.51
esc_ea1717aa	mod1-ec6384	srr3957077;illumina;paired;300;srx1981087	human	human	homo sapiens; homo sapiens-urine	1988	4	nd	nd	south america	argentina	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04993001	srs1588531	2016-07-28	2015-01-01	esc_ea1717aa	assembled	56	23064	5020658	escherichia coli / shigella;99.74%	463	28569	esc_ha7782aa_as	3.51
esc_ea1732aa	mod1-ec6839	srr3957062;illumina;paired;300;srx1981071	human	ovine	caprine, ammotragus lervia, aoudad-blood	1996	7	nd	nd	north america	united states	california	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	ox25	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04992205	srs1588515	2016-07-28	2015-01-01	esc_ea1732aa	assembled	123	154495	4937889	escherichia coli / shigella;96.92%	90	2186	esc_ha7767aa_as	3.51
esc_ea1870aa	mod1-ecor5	srr3951467;illumina;paired;300;srx1976262,srr3954206;illumina;paired;300;srx1978438	human	human	homo sapiens; human	1995	nd	nd	nd	north america	united states	iowa	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd:h6	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158342	srs1584297	2016-07-28	2015-01-01	esc_ea1870aa	assembled	118	119371	5094813	escherichia coli / shigella;100.0%	204	2993	esc_ha7541aa_as	3.51
esc_ea1965aa	mod1-ecor48	srr3951513;illumina;paired;300;srx1976332,srr4099206;illumina;paired;300;srx2067305	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913895	srs1584340	2016-07-28	2015-01-01	esc_ea1965aa	assembled	498	187262	5351020	escherichia coli / shigella;96.98%	90	1866	esc_ha7445aa_as	3.51
esc_ea1970aa	mod1-ecor43	srr3951508;illumina;paired;300;srx1976327,srr4099201;illumina;paired;300;srx2067298	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd:h19	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913890	srs1584335	2016-07-28	2015-01-01	esc_ea1970aa	assembled	291	122920	5285488	escherichia coli / shigella;98.0%	181	1710	esc_ha7440aa_as	3.51
esc_ea1971aa	mod1-ecor42	srr3951506;illumina;paired;300;srx1976326,srr4099200;illumina;paired;300;srx2067297	human	human	homo sapiens; human	1979	nd	nd	nd	north america	united states	massachusetts	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o78:h19	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913889	srs1584334	2016-07-28	2015-01-01	esc_ea1971aa	assembled	277	466989	5114155	escherichia coli / shigella;96.49%	84	1454	esc_ha7439aa_as	3.51
esc_ea1972aa	mod1-ecor41	srr3951505;illumina;paired;300;srx1976325,srr4099199;illumina;paired;300;srx2067296	human	human	homo sapiens; human	1982	nd	nd	nd	oceania	tonga	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o86:h10	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913888	srs1584333	2016-07-28	2015-01-01	esc_ea1972aa	assembled	316	111025	5277583	escherichia coli / shigella;100.0%	206	2759	esc_ha7438aa_as	3.51
esc_ea1973aa	mod1-ecor40	srr3951504;illumina;paired;300;srx1976324,srr4099198;illumina;paired;300;srx2067295	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o25:h21	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913887	srs1584332	2016-07-28	2015-01-01	esc_ea1973aa	assembled	147	109446	5212578	escherichia coli / shigella;100.0%	156	2487	esc_ha7437aa_as	3.51
esc_ea1974aa	mod1-ecor39	srr3951503;illumina;paired;300;srx1976323,srr4099197;illumina;paired;300;srx2067294	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o8:h49	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913886	srs1584331	2016-07-28	2015-01-01	esc_ea1974aa	assembled	408	110876	5312180	escherichia coli / shigella;100.0%	210	2235	esc_ha7436aa_as	3.51
esc_ea1975aa	mod1-ecor38	srr3951501;illumina;paired;300;srx1976322,srr4099196;illumina;paired;300;srx2067293	human	human	homo sapiens; human	1995	nd	nd	nd	north america	united states	iowa	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd:h40	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913884	srs1584330	2016-07-28	2015-01-01	esc_ea1975aa	assembled	504	109998	5268252	escherichia coli / shigella;100.0%	196	2664	esc_ha7435aa_as	3.51
esc_ea1977aa	mod1-ecor36	srr3951499;illumina;paired;300;srx1976320,srr4099194;illumina;paired;300;srx2067291	human	human	homo sapiens; human	1995	nd	nd	nd	north america	united states	iowa	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913882	srs1584328	2016-07-28	2015-01-01	esc_ea1977aa	assembled	294	51953	5075776	escherichia coli / shigella;98.95%	238	2397	esc_ha7433aa_as	3.51
esc_ea1978aa	mod1-ecor35	srr3951498;illumina;paired;300;srx1976319,srr4099188;illumina;paired;300;srx2067290	human	human	homo sapiens; human	1995	nd	nd	nd	north america	united states	iowa	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913881	srs1584327	2016-07-28	2015-01-01	esc_ea1978aa	assembled	280	79663	5128590	escherichia coli / shigella;99.37%	203	2429	esc_ha7432aa_as	3.51
esc_ea1984aa	mod1-ecor28	srr3951491;illumina;paired;300;srx1976287,srr4098829;illumina;paired;300;srx2067284	human	human	homo sapiens; human	1995	nd	nd	nd	north america	united states	iowa	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o104:h2	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04913875	srs1584321	2016-07-28	2015-01-01	esc_ea1984aa	assembled	189	191213	4901563	escherichia coli / shigella;98.53%	90	1724	esc_ha7426aa_as	3.51
esc_ea1986aa	mod1-ecor26	srr3951489;illumina;paired;300;srx1976284,srr4098827;illumina;paired;300;srx2067282	human	human	homo sapiens; human	1995	nd	nd	nd	north america	united states	massachusetts	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o104:h21	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158363	srs1584318	2016-07-28	2015-01-01	esc_ea1986aa	assembled	363	236177	4697483	escherichia coli / shigella;98.36%	92	1416	esc_ha7424aa_as	3.51
esc_ea1988aa	mod1-ecor24	srr3951486;illumina;paired;300;srx1976282,srr4098825;illumina;paired;300;srx2067280	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o15:h14	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158361	srs1584316	2016-07-28	2015-01-01	esc_ea1988aa	assembled	286	138126	5249181	escherichia coli / shigella;97.9%	129	2624	esc_ha7422aa_as	3.51
esc_ea1997aa	mod1-ecor14	srr3951476;illumina;paired;300;srx1976272,srr4098812;illumina;paired;300;srx2067205	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o71:h4	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158351	srs1584307	2016-07-28	2015-01-01	esc_ea1997aa	assembled	181	123124	4956473	escherichia coli / shigella;97.31%	130	1282	esc_ha7413aa_as	3.51
esc_ea1998aa	mod1-ecor13	srr3951475;illumina;paired;300;srx1976271,srr4098811;illumina;paired;300;srx2067204	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd:h25	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158350	srs1584306	2016-07-28	2015-01-01	esc_ea1998aa	assembled	299	66446	4464980	escherichia coli / shigella;93.51%	159	2289	esc_ha7412aa_as	3.51
esc_ea1999aa	mod1-ecor12	srr3951474;illumina;paired;300;srx1976270,srr4098809;illumina;paired;300;srx2067203	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd:h32	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158349	srs1584305	2016-07-28	2015-01-01	esc_ea1999aa	assembled	266	129240	5113909	escherichia coli / shigella;100.0%	218	2976	esc_ha7411aa_as	3.51
esc_ea2000aa	mod1-ecor11	srr3951473;illumina;paired;300;srx1976269,srr4098808;illumina;paired;300;srx2067202	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	nd:h4	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158348	srs1584304	2016-07-28	2015-01-01	esc_ea2000aa	assembled	334	131967	5223537	escherichia coli / shigella;96.51%	229	4159	esc_ha7410aa_as	3.51
esc_ea2001aa	mod1-ecor10	srr3951472;illumina;paired;300;srx1976268,srr4098807;illumina;paired;300;srx2067201	human	human	homo sapiens; human	1995	nd	nd	nd	europe	sweden	nd	nd	nd	nd	nd	nd	fda center for food safety and applied nutrition	escherichia coli	nd	o6:h10	nd	nd	nd	nd	nd	prjna230969	srp058582	nd	samn04158347	srs1584302	2016-07-28	2015-01-01	esc_ea2001aa	assembled	166	198002	4754853	escherichia coli / shigella;100.0%	95	1478	esc_ha7409aa_as	3.51
