Sequence ID,Isolate ID,ENA Accessions 1,ENA Accessions 2,Total Length,Number Contigs,Avg_Contig_Length,Largest Contig,N50,Contigs in N50,Mapped %,Depth of Coverage,Participant,Year of Isolation,Geographic Location,Origin,Sample Type,gyrA Mutation,parC Mutation,H30-H30R-H30Rx,Clade,CTX-M Presence,blaOXA1,blaTEM,aac-(6')-lbcr,mphA,dfrA17,tetA,sul1,sul2,strA,strB
15056_3#24,NHES0181,ERR830497,ERS576189,5151399,93,55391.39,760858,235614,6,95.7,105.64,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#26,NHES0188,ERR830499,ERS576193,5192775,60,86546.25,754154,317342,6,95.2,74.11,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#27,NHES0189,ERR830500,ERS576195,5097910,95,53662.21,717303,192573,8,99.6,86.35,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#28,NHES0191,ERR830501,ERS576197,5183715,90,57596.83,717157,205328,7,93.2,75.54,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#29,NHES0332,ERR830502,ERS576199,5145297,96,53596.84,717151,180826,8,95.3,79.4,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#3,NHES0134,ERR830476,ERS576134,5153885,90,57265.39,623402,208399,8,94.8,90.71,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#30,NHES0334,ERR830503,ERS576201,5187718,104,49881.9,720308,210844,7,94,82.01,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#31,NHES0336,ERR830504,ERS576203,5076909,94,54009.67,717225,208078,7,96.1,87.59,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#32,NHES0338,ERR830505,ERS576204,5105607,69,73994.3,501047,282958,7,98.1,98.89,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#33,NHES0340,ERR830506,ERS576032,5110768,73,70010.52,377638,191336,9,97.4,79.39,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#35,NHES0196,ERR830508,ERS576036,5148543,97,53077.76,717633,196981,8,94.2,81.78,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#36,NHES0197,ERR830509,ERS576038,5146807,87,59158.7,717108,208390,7,95.9,79.53,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#37,NHES0201,ERR830510,ERS576040,5171974,106,48792.21,522128,193045,8,95.4,85.93,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#38,NHES0203,ERR830511,ERS576042,5107627,78,65482.4,464984,238574,8,97,84.03,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#39,NHES0206,ERR830512,ERS576044,5134797,91,56426.34,712173,319325,6,98.9,95.3,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#4,NHES0137,ERR830477,ERS576139,5112536,68,75184.35,805889,321058,6,97.1,91.56,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#40,NHES0208,ERR830513,ERS576047,5090541,90,56561.57,717480,221941,8,99.6,100.99,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#41,NHES0210,ERR830514,ERS576049,5101648,104,49054.31,712232,192224,7,98.7,85.82,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#42,NHES0215,ERR830515,ERS576051,5143900,99,51958.59,756176,190952,8,95.8,76.45,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#43,NHES0216,ERR830516,ERS576053,5254538,104,50524.4,521799,208408,7,92.8,79.32,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#44,NHES0218,ERR830517,ERS576055,5194067,60,86567.78,751526,332506,6,93.5,76.59,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#45,NHES0219,ERR830518,ERS576057,5144926,114,45130.93,711812,179612,9,95.5,81.74,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#46,NHES0220,ERR830519,ERS576059,5108819,79,64668.59,464936,195626,9,97.4,81.78,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#47,NHES0222,ERR830520,ERS576062,5108447,68,75124.22,583876,215689,8,95.8,88.56,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
15056_3#48,NHES0223,ERR830521,ERS576064,5147568,86,59855.44,719881,191280,8,95.8,91.13,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#49,NHES0227,ERR830522,ERS576066,5103619,103,49549.7,716903,191243,9,98.5,85.6,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#5,NHES0140,ERR830478,ERS576141,5154008,87,59241.47,717224,228633,7,98.5,96.44,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#50,NHES0228,ERR830523,ERS576068,5135224,119,43153.14,399743,203054,9,82.6,63.71,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#51,NHES0233,ERR830524,ERS576070,5099386,90,56659.84,712034,202907,6,99.6,88.81,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#52,NHES0234,ERR830525,ERS576072,5253524,108,48643.74,523112,196970,9,92.8,78.06,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#53,NHES0235,ERR830526,ERS576074,5194499,69,75282.59,494267,317578,7,93.5,80.81,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#54,NHES0236,ERR830527,ERS576076,5073531,96,52849.28,718426,220494,6,96.4,84.47,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#55,NHES0240,ERR830528,ERS576079,5193314,57,91110.77,745368,337443,6,95.2,86.63,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#56,NHES0243,ERR830529,ERS576081,5101967,82,62219.11,469554,218161,9,95.7,96.65,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#57,NHES0244,ERR830530,ERS576083,5102835,94,54285.48,717291,191241,7,98.6,87.25,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#58,NHES0245,ERR830531,ERS576084,5145178,98,52501.82,711577,190964,8,96.3,79.93,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#59,NHES0246,ERR830532,ERS576087,5255670,112,46925.62,397566,193804,9,92.6,83.6,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#6,NHES0141,ERR830479,ERS576143,5105505,80,63818.81,717303,203040,8,95.8,99.08,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#62,NHES0261,ERR830535,ERS576092,5150186,102,50492.02,717038,171523,10,95.3,84.96,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#64,NHES0263,ERR830537,ERS576096,5112942,78,65550.54,470086,233280,8,97.4,99.36,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#66,NHES0266,ERR830539,ERS576101,4993769,73,68407.79,1134761,250563,5,85.4,69.17,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#67,NHES0267,ERR830540,ERS576103,5150036,97,53093.15,712277,197257,8,98.5,93.83,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#68,NHES0268,ERR830541,ERS576104,5102241,107,47684.5,712273,180853,9,98.6,84.57,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#69,NHES0270,ERR830542,ERS576107,5141314,109,47168.02,712000,180826,8,93,77.82,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#7,NHES0142,ERR830480,ERS576145,5156686,97,53161.71,718387,208950,7,94.8,101.63,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#70,NHES0278,ERR830543,ERS576109,5152875,110,46844.32,712374,173088,9,91.7,85.15,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#71,NHES0280,ERR830544,ERS576110,5133205,100,51332.05,728367,191241,8,98.9,93.46,P28,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#72,NHES0281,ERR830545,ERS576112,5154390,103,50042.62,717375,191080,8,95.6,88.79,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#74,NHES0290,ERR830547,ERS576116,5146360,105,49012.95,712404,173521,9,95.4,78.63,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#75,NHES0291,ERR830548,ERS576119,5119894,95,53893.62,717322,226132,7,96.2,86.27,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#76,NHES0292,ERR830549,ERS576121,5148491,100,51484.91,716803,191239,9,96.4,88.04,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#77,NHES0294,ERR830550,ERS576123,5105107,77,66300.09,679582,233449,7,98.8,84.53,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#79,NHES0301,ERR830552,ERS576127,5106055,91,56110.49,717004,203215,7,98.5,92.7,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#8,NHES0143,ERR830481,ERS576147,5275548,60,87925.8,750653,342007,6,94.8,106.61,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#80,NHES0303,ERR830553,ERS576129,5149862,105,49046.3,715551,173880,8,95.9,90.92,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#81,NHES0304,ERR830554,ERS576131,5253037,99,53060.98,512242,191449,9,92,79.44,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#82,NHES0306,ERR830555,ERS576133,5103735,93,54878.87,717135,182909,9,97.4,82.49,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#83,NHES0307,ERR830556,ERS576135,5102043,93,54860.68,749009,182697,8,99.6,83.12,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_3#84,NHES0309,ERR830557,ERS576137,5146094,98,52511.16,717338,201912,7,95.8,81.57,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_3#85,NHES0311,ERR830558,ERS576140,5105851,75,68078.01,678373,233544,7,98.8,83.64,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_3#9,NHES0145,ERR830482,ERS576149,5155284,100,51552.84,717144,176901,9,95.7,93.98,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#1,NHES0319,ERR830560,ERS576144,5149277,98,52543.64,712427,180826,7,96.1,82.16,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#10,NHES0277,ERR830569,ERS576162,5148620,109,47235.05,721980,202018,7,92.5,78.07,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#2,NHES0320,ERR830561,ERS576146,5102371,93,54864.2,709457,192005,7,98.7,82.91,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#27,NHES0295,ERR830586,ERS576196,5078993,104,48836.47,402615,199943,9,95.9,75.09,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#28,NHES0257,ERR830587,ERS576198,5144421,101,50934.86,711876,173074,8,89,69.38,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#29,NHES0276,ERR830588,ERS576200,5085132,95,53527.71,716262,192179,7,95.5,80.72,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#3,NHES0323,ERR830562,ERS576148,5304789,75,70730.52,476740,222349,8,96,86.64,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#30,NHES0308,ERR830589,ERS576202,5088998,110,46263.62,711964,191241,8,96.5,78.33,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#31,NHES0289,ERR830590,ERS576205,5153160,107,48160.37,712027,191243,9,93,82.48,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#33,NHES0129,ERR830592,ERS576208,5070239,98,51737.13,711723,336132,5,94.7,77.8,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#34,NHES0158,ERR830593,ERS576209,5071624,99,51228.53,712135,229992,7,96.1,94.49,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#35,NHES0182,ERR830594,ERS576210,5081908,105,48399.12,661106,190992,9,97.3,80.78,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#36,NHES0184,ERR830595,ERS576211,5146877,113,45547.58,712057,233449,7,97.7,74.9,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#37,NHES0212,ERR830596,ERS576212,5151842,100,51518.42,720651,208397,7,96.4,80.55,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#38,NHES0174,ERR830597,ERS576213,5087496,105,48452.34,711813,202020,8,98,94.51,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#39,NHES0010,ERR830598,ERS576214,5283384,70,75476.91,745506,320798,6,95,78.49,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#4,NHES0325,ERR830563,ERS576150,5023743,81,62021.52,721519,190947,7,89.8,74.05,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#40,NHES0019,ERR830599,ERS576215,5076647,96,52881.74,719165,301132,6,96.5,94.95,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#41,NHES0023,ERR830600,ERS576216,5173088,109,47459.52,409672,190964,10,94.8,85.8,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#42,NHES0024,ERR830601,ERS576217,5270887,68,77513.04,744645,278500,7,94.5,95.55,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#43,NHES0030,ERR830602,ERS576218,5101919,87,58642.75,717315,202913,8,99.8,119.9,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#44,NHES0036,ERR830603,ERS576219,5149681,99,52016.98,717407,201882,9,95.8,81.45,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#45,NHES0042,ERR830604,ERS576221,5098111,94,54235.22,718752,191241,7,99.6,79.68,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#46,NHES0043,ERR830605,ERS576222,5155999,95,54273.67,910625,206458,6,94,110.67,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#47,NHES0049,ERR830606,ERS576224,5152875,95,54240.79,747000,208474,6,93.9,82.14,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#48,NHES0051,ERR830607,ERS576226,5123758,103,49745.22,716972,199955,8,96.6,91.09,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#49,NHES0055,ERR830608,ERS576228,5170833,108,47878.08,522060,203793,8,96.2,99.06,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#5,NHES0327,ERR830564,ERS576152,5149364,97,53086.23,712244,192682,9,96,86.38,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#50,NHES0061,ERR830609,ERS576229,5112442,67,76305.1,516598,282337,7,95.1,102.53,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
15056_4#51,NHES0062,ERR830610,ERS576230,5029136,83,60592,716708,191382,9,98.6,111.96,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#52,NHES0064,ERR830611,ERS576231,5320896,80,66511.2,746228,231519,7,96.4,93.25,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#53,NHES0071,ERR830612,ERS576232,5149918,93,55375.46,719352,199953,7,98.5,83.19,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#54,NHES0072,ERR830613,ERS576233,5151406,93,55391.46,716946,190972,9,94.2,111.48,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent
15056_4#55,NHES0073,ERR830614,ERS576234,5306419,69,76904.62,1060308,244180,6,95.1,98.96,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#56,NHES0077,ERR830615,ERS576235,5076932,107,47447.96,717442,182336,9,96.1,86.46,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Present,Absent,Absent,Absent
15056_4#57,NHES0078,ERR830616,ERS576236,5098079,95,53663.99,710040,191241,8,99.6,94.18,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#58,NHES0079,ERR830617,ERS576237,5095564,99,51470.34,716979,180687,8,94.3,99.31,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#59,NHES0094,ERR830618,ERS576239,5147244,102,50463.18,512772,173450,10,95.5,90.52,P6,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#6,NHES0328,ERR830565,ERS576154,5148826,99,52008.34,744232,185605,8,96.1,91.3,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#60,NHES0100,ERR830619,ERS576240,5075996,95,53431.54,711973,191246,7,96.5,96.04,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#61,NHES0104,ERR830620,ERS576242,5117739,101,50670.68,717179,203703,7,98.3,89.72,P3,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#62,NHES0123,ERR830621,ERS576244,5121786,101,50710.75,711893,191258,8,95.9,89.26,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#63,NHES0126,ERR830622,ERS576245,5071875,95,53388.16,711453,198140,7,96.3,91.09,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
