study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6403	SAMEA3893454	ERS1080588	ERX1546896	ERR1475868	519	Bordetella parapertussis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923579	ERS1110713	ERX1546897	ERR1475869	38301	Corynebacterium minutissimum	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923580	ERS1110714	ERX1546898	ERR1475870	287	Pseudomonas aeruginosa	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923581	ERS1110715	ERX1546899	ERR1475871	47883	Pseudomonas synxantha	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923582	ERS1110716	ERX1546900	ERR1475872	95486	Burkholderia cenocepacia	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923583	ERS1110717	ERX1546901	ERR1475873	520	Bordetella pertussis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923584	ERS1110718	ERX1546902	ERR1475874	520	Bordetella pertussis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923585	ERS1110719	ERX1546903	ERR1475875	520	Bordetella pertussis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923586	ERS1110720	ERX1546904	ERR1475876	520	Bordetella pertussis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923587	ERS1110721	ERX1546905	ERR1475877	446	Legionella pneumophila	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923588	ERS1110722	ERX1546906	ERR1475878	446	Legionella pneumophila	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923591	ERS1110725	ERX1546907	ERR1475879	45060	Legionella donaldsonii	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923592	ERS1110726	ERX1546908	ERR1475880	446	Legionella pneumophila	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923593	ERS1110727	ERX1546909	ERR1475881	446	Legionella pneumophila	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923594	ERS1110728	ERX1546910	ERR1475882	571	Klebsiella oxytoca	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923595	ERS1110729	ERX1546911	ERR1475883	158484	Cedecea davisae	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923596	ERS1110730	ERX1546912	ERR1475884	1314	Streptococcus pyogenes	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923597	ERS1110731	ERX1546913	ERR1475885	1351	Enterococcus faecalis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3923598	ERS1110732	ERX1546914	ERR1475886	1351	Enterococcus faecalis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3930549	ERS1117683	ERX1546915	ERR1475887	287	Pseudomonas aeruginosa	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA666/ERA666322/pacbio_hdf5				
PRJEB6403	SAMEA3930550	ERS1117684	ERX1588170	ERR1517150	1351	Enterococcus faecalis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5				
PRJEB6403	SAMEA3930551	ERS1117685	ERX1588171	ERR1517151	1326	Streptococcus acidominimus	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5				
PRJEB6403	SAMEA3930552	ERS1117686	ERX1588172	ERR1517152	119602	Streptococcus dysgalactiae subsp. equisimilis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5				
PRJEB6403	SAMEA3930553	ERS1117687	ERX1588173	ERR1517153	41276	Brevundimonas vesicularis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5				
PRJEB6403	SAMEA3936790	ERS1123924	ERX1588174	ERR1517154	1313	Streptococcus pneumoniae	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5				
PRJEB6403	SAMEA3936791	ERS1123925	ERX1588175	ERR1517155	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA672/ERA672288/pacbio_hdf5				
PRJEB6403	SAMEA3936792	ERS1123926	ERX1613975	ERR1543210	484	Neisseria flavescens	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936793	ERS1123927	ERX1613976	ERR1543211	751	Avibacterium avium	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936794	ERS1123928	ERX1613977	ERR1543212	40215	Acinetobacter junii	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936795	ERS1123929	ERX1613978	ERR1543213	40214	Acinetobacter johnsonii	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936796	ERS1123930	ERX1613979	ERR1543214	123820	[Actinobacillus] rossii	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936797	ERS1123931	ERX1613980	ERR1543215	1303	Streptococcus oralis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936798	ERS1123932	ERX1613981	ERR1543216	333962	Providencia heimbachae	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936799	ERS1123933	ERX1613982	ERR1543217	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936800	ERS1123934	ERX1613983	ERR1543218	633	Yersinia pseudotuberculosis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936801	ERS1123935	ERX1613984	ERR1543219	520	Bordetella pertussis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3936803	ERS1123937	ERX1613985	ERR1543220	562	Escherichia coli	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3956092	ERS1143226	ERX1613986	ERR1543221	587753	Pseudomonas chlororaphis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3956093	ERS1143227	ERX1613987	ERR1543222	43263	Pseudomonas alcaligenes	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3956094	ERS1143228	ERX1613988	ERR1543223	40324	Stenotrophomonas maltophilia	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3956095	ERS1143229	ERX1613989	ERR1543224	1349	Streptococcus uberis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3956096	ERS1143230	ERX1613990	ERR1543225	40041	Streptococcus equi subsp. zooepidemicus	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA676/ERA676170/pacbio_hdf5				
PRJEB6403	SAMEA3956097	ERS1143231	ERX1620819	ERR1550049	1314	Streptococcus pyogenes	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5				
PRJEB6403	SAMEA3956098	ERS1143232	ERX1620820	ERR1550050	119602	Streptococcus dysgalactiae subsp. equisimilis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5				
PRJEB6403	SAMEA3956099	ERS1143233	ERX1620821	ERR1550051	1314	Streptococcus pyogenes	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5				
PRJEB6403	SAMEA3956100	ERS1143234	ERX1620822	ERR1550052	1313	Streptococcus pneumoniae	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5				
PRJEB6403	SAMEA3930554	ERS1117688	ERX1620823	ERR1550053	98360	Salmonella enterica subsp. enterica serovar Dublin	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5				
PRJEB6403	SAMEA3936789	ERS1123923	ERX1620824	ERR1550054	150053	Yersinia enterocolitica subsp. palearctica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA678/ERA678388/pacbio_hdf5				
PRJEB6403	SAMEA4007815	ERS1178925	ERX1625358	ERR1554602	115981	Salmonella enterica subsp. enterica serovar Montevideo	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5				
PRJEB6403	SAMEA4007816	ERS1178926	ERX1625359	ERR1554603	58097	Salmonella enterica subsp. enterica serovar Bovismorbificans	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5				
PRJEB6403	SAMEA4007817	ERS1178927	ERX1625360	ERR1554604	363568	Salmonella enterica subsp. enterica serovar Sendai	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5				
PRJEB6403	SAMEA3905385	ERS1092519	ERX1625361	ERR1554605	519	Bordetella parapertussis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5				
PRJEB6403	SAMEA3919802	ERS1106936	ERX1625362	ERR1554606	259	Sphingobacterium thalpophilum	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5				
PRJEB6403	SAMEA4007818	ERS1178928	ERX1625363	ERR1554607	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5				
PRJEB6403	SAMEA4007819	ERS1178929	ERX1625364	ERR1554608	46626	Salmonella enterica subsp. enterica serovar Give	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA681/ERA681828/pacbio_hdf5				
PRJEB6403	SAMEA4007820	ERS1178930	ERX1633223	ERR1562467	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4007821	ERS1178931	ERX1633224	ERR1562468	260367	Salmonella enterica subsp. enterica serovar Aberdeen	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4007822	ERS1178932	ERX1633225	ERR1562469	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4007823	ERS1178933	ERX1633226	ERR1562470	287	Pseudomonas aeruginosa	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4007824	ERS1178934	ERX1633227	ERR1562471	1280	Staphylococcus aureus	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4007825	ERS1178935	ERX1633228	ERR1562472	1393	Brevibacillus brevis	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4007826	ERS1178936	ERX1633229	ERR1562473	29385	Staphylococcus saprophyticus	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4012318	ERS1183428	ERX1633230	ERR1562474	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4012319	ERS1183429	ERX1633231	ERR1562475	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4012320	ERS1183430	ERX1633232	ERR1562476	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4012326	ERS1183436	ERX1633233	ERR1562477	59201	Salmonella enterica subsp. enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4012327	ERS1183437	ERX1633234	ERR1562478	1338	Streptococcus intermedius	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4012328	ERS1183438	ERX1633235	ERR1562479	1314	Streptococcus pyogenes	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA686/ERA686816/pacbio_hdf5				
PRJEB6403	SAMEA4017701	ERS1188811	ERX1659280	ERR1588634	1502	Clostridium perfringens	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017704	ERS1188814	ERX1659281	ERR1588635	36809	Mycobacteroides abscessus	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017705	ERS1188815	ERX1659282	ERR1588636	65058	Corynebacterium ulcerans	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017706	ERS1188816	ERX1659283	ERR1588637	65058	Corynebacterium ulcerans	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017707	ERS1188817	ERX1659284	ERR1588638	1717	Corynebacterium diphtheriae	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017708	ERS1188818	ERX1659285	ERR1588639	287	Pseudomonas aeruginosa	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4012321	ERS1183431	ERX1659286	ERR1588640	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4012322	ERS1183432	ERX1659287	ERR1588641	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4012323	ERS1183433	ERX1659288	ERR1588642	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4012324	ERS1183434	ERX1659289	ERR1588643	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4012325	ERS1183435	ERX1659290	ERR1588644	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017709	ERS1188819	ERX1659291	ERR1588645	38289	Corynebacterium jeikeium	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017710	ERS1188820	ERX1659292	ERR1588646	38289	Corynebacterium jeikeium	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017714	ERS1188824	ERX1659293	ERR1588647	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017715	ERS1188825	ERX1659294	ERR1588648	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017716	ERS1188826	ERX1659295	ERR1588649	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017717	ERS1188827	ERX1659296	ERR1588650	59201	Salmonella enterica subsp. enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017718	ERS1188828	ERX1659297	ERR1588651	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017711	ERS1188821	ERX1659298	ERR1588652	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017712	ERS1188822	ERX1659299	ERR1588653	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017713	ERS1188823	ERX1659300	ERR1588654	28901	Salmonella enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA689/ERA689257/pacbio_hdf5				
PRJEB6403	SAMEA4017719	ERS1188829	ERX1670482	ERR1599915	59201	Salmonella enterica subsp. enterica	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA695/ERA695319/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA695/ERA695319/pacbio_hdf5				
PRJEB6403	SAMEA4017720	ERS1188830	ERX1670483	ERR1599916	1314	Streptococcus pyogenes	PacBio RS	SINGLE			ftp.sra.ebi.ac.uk/vol1/ERA695/ERA695319/pacbio_hdf5	ftp.sra.ebi.ac.uk/vol1/ERA695/ERA695319/pacbio_hdf5				
